File_Name,Model,Optimized_Parameters,MAE,F2
data/drug_release/89..csv,weibull,[9.6393914  0.78562236],1.962615020872282,80.65098424537929
data/drug_release/91..csv,weibull,[9.70965401 0.79459141],2.9495046941856486,71.2565673888258
data/drug_release/92..csv,weibull,[9.81963812 0.81663751],2.4688035666015384,73.85702197350965
data/drug_release/94..csv,weibull,[56.87197381  0.28911311],0.12195695650636224,99.76631404078432
data/drug_release/95..csv,weibull,[90.32799982  0.46500541],0.15058413501113183,99.58928169086433
data/drug_release/96..csv,weibull,[299.99999943   0.50123091],0.028859922888399614,99.98409362959906
data/drug_release/97..csv,weibull,[215.90805155   0.51125301],0.033821509163846575,99.98111208342468
data/drug_release/98..csv,weibull,[3.52143832 0.5432009 ],1.9269481528696426,78.24790028245546
data/drug_release/99..csv,weibull,[9.43396944 0.77564011],1.923949509380935,81.06000811798994
data/drug_release/100..csv,weibull,[10.05635889  0.79278362],2.7098974030765315,72.70353126921286
data/drug_release/101..csv,weibull,[15.47181681  0.93542423],1.140797247619131,88.77232807751267
data/drug_release/102..csv,weibull,[16.46066521  0.90050548],0.8846184659502295,92.4719208048664
data/drug_release/103..csv,weibull,[20.87811337  1.03163089],0.9544720989792432,91.11722764938024
data/drug_release/104..csv,weibull,[1.57975343 0.67317437],2.574759627617151,75.10780442903831
data/drug_release/105..csv,weibull,[7.58010067 0.8697416 ],1.3604639656846576,86.79034038369247
data/drug_release/106..csv,weibull,[37.62263641  0.89791052],1.9036129356044087,81.11578552824662
data/drug_release/107..csv,weibull,[16.94311033  0.98125376],1.855246452898545,80.94127826173221
data/drug_release/108..csv,weibull,[25.60970918  1.38336238],1.2395833852253317,88.96911833058535
data/drug_release/109..csv,weibull,[74.53845503  1.5392626 ],2.3262579030452804,76.81185012995996
data/drug_release/110..csv,weibull,[18.783405    1.01862137],1.9639607620154058,80.37628619795122
data/drug_release/111..csv,weibull,[14.28114145  0.79527444],1.0207635731654163,89.66437290307967
data/drug_release/112..csv,weibull,[15.44848912  0.94330531],1.293321554346369,86.78809518832405
data/drug_release/113..csv,weibull,[12.39353592  0.79867889],1.010131074133782,90.3625172769176
data/drug_release/114..csv,weibull,[15.48240892  0.88402888],0.44387927211149686,96.97598237896904
data/drug_release/115..csv,weibull,[18.77870256  1.01165766],1.1189742220028798,88.68707023543956
data/drug_release/116..csv,weibull,[17.89291241  0.99534075],1.1683638293180976,88.05175477302646
data/drug_release/117..csv,weibull,[14.81020543  0.91487661],1.073057916379228,89.51471078756418
data/drug_release/118..csv,weibull,[12.41964833  0.89343509],0.8681750754990023,92.2142137035902
data/drug_release/119..csv,weibull,[6.70480405 0.72689154],0.7899761262949528,92.92185840855208
data/drug_release/120..csv,weibull,[5.58568586 0.7131131 ],0.8471825538729603,90.6093977711484
data/drug_release/121..csv,weibull,[15.53873648  0.944769  ],1.0072902546727414,90.55207017998244
